Index,Name,Year,Location,Citation,ACM Fellow Profile,Google Scholar Profile,Affiliation,Interests
229,Dawn Song,2019,USA,For contributions to security and privacy,https://awards.acm.org/award-recipients/song_ND94565,https://scholar.google.com/citations?user=84WzBlYAAAAJ,"Professor of Computer Science, UC Berkeley",Computer Security and Privacy
230,Diego Calvanese,2019,Italy,For contributions to description logics and their applications in data management and software engineering,https://awards.acm.org/award-recipients/calvanese_0397786,https://scholar.google.com/citations?user=We0kRfEAAAAJ,"Prof. of Computer Science, KRDB, Free Univ. of Bozen-Bolzano; Wallenberg Visiting Prof …",Artificial intelligence Data Management Knowledge Representation Description Logics Verification
231,Dr Salvatore J Stolfo,2019,USA,For contributions to machine-learning-based cybersecurity and parallel hardware for database inference systems,https://awards.acm.org/award-recipients/stolfo_1487883,,,[]
232,Dr. Deborah Frincke,2019,USA,"For contributions in education, the practice of research, and the leadership of cybersecurity",https://awards.acm.org/award-recipients/frincke_3189248,https://scholar.google.com/citations?user=LO7ZkPgAAAAJ,"Associate Laboratory Director Sandia National Laboratories, head of National Security …",cyber analytics AI quantum critical infrastructure
233,Dr. Magdalena Balazinska ,2019,USA,For contributions to scalable distributed data systems,https://awards.acm.org/award-recipients/balazinska_1316264,https://scholar.google.com/citations?user=DDxFvcIAAAAJ,University of Washington,Databases data science cloud computing parallel and distributed systems streams
234,Dr. Ronald F Boisvert,2019,USA,For contributions to mathematical software and service to the profession,https://awards.acm.org/award-recipients/boisvert_1461136,https://scholar.google.com/citations?user=ctI1jBAAAAAJ,"Chief, Applied and Computational Mathematics Division, National Institute of Standards and",Numerical Analysis Computational Science Mathematical Software
235,Dr. Scott J Aaronson,2019,USA,For contributions to quantum computing and computational complexity,https://awards.acm.org/award-recipients/aaronson_9555914,https://scholar.google.com/citations?user=EYv2BNQAAAAJ,"David J. Bruton Centennial Professor of Computer Science, University of Texas at Austin",Quantum computing computational complexity
236,Elena Ferrari,2019,Italy,For contributions to security and privacy of data and social network systems,https://awards.acm.org/award-recipients/ferrari_0528703,https://scholar.google.com/citations?user=kOc4beIAAAAJ,University of Insubria,security privacy trust Iot data management systems
237,Elizabeth Frances Churchill,2019,USA,For contributions to human-computer interaction and service to the ACM.,https://awards.acm.org/award-recipients/churchill_4552865,,,[]
238,Emery David Berger,2019,USA,"For contributions in memory management and programming language implementation 
",https://awards.acm.org/award-recipients/berger_4417531,,,[]
239,Giovanni Vigna,2019,USA,For contributions to improving the security of the Internet and combating cybercrime,https://awards.acm.org/award-recipients/vigna_4457024,https://scholar.google.com/citations?user=2eM6GocAAAAJ,UC Santa Barbara and VMware,Computer Security Network Security Web Security Binary Analysis Malware
240,Hanspeter Pfister ,2019,USA,"For contributions to volume rendering, visualization, computer graphics, and computer vision applications",https://awards.acm.org/award-recipients/pfister_4049490,https://scholar.google.com/citations?user=VWX-GMAAAAAJ,"An Wang Professor of Computer Science, Harvard University",Visualization Computer Graphics Computer Vision
241,Jason Nieh,2019,USA,"For contributions to operating systems, virtualization, and computer science education",https://awards.acm.org/award-recipients/nieh_4272597,https://scholar.google.com/citations?user=UGrnqBUAAAAJ,Columbia University,Mobile Computing Operating Systems Networking Security
242,Jeffrey S Rosenschein,2019,Israel,"For contributions to multi-agent systems, in particular, the use of game theory in multi-agent systems",https://awards.acm.org/award-recipients/rosenschein_UI64416,https://scholar.google.com/citations?user=TIQlTAEAAAAJ,"Professor of Computer Science, The Hebrew University of Jerusalem",Artificial Intelligence Multiagent Systems
243,Kanianthra Mani Chandy 1944,2019,USA,"For contributions to queuing networks, performance analysis, distributed and parallel programming, and distributed simulation",https://awards.acm.org/award-recipients/chandy_4104642,,,[]
244,Kavita Bala,2019,USA,For contributions to rendering and scene understanding,https://awards.acm.org/award-recipients/bala_4162558,https://scholar.google.com/citations?user=Rh16nsIAAAAJ,Cornell University,computer graphics computer vision
245,Lidong Zhou,2019,USA,For contributions to trustworthy distributed computing and to systems research and education in China,https://awards.acm.org/award-recipients/zhou_UI17761,https://scholar.google.com/citations?user=rillZYsAAAAJ,Microsoft Research,Distributed systems storage reliability and fault tolerance security
246,Lise Getoor,2019,USA,"For contributions to machine learning, reasoning under uncertainty, and responsible data science",https://awards.acm.org/award-recipients/getoor_2946767,https://scholar.google.com/citations?user=Y8-xGncAAAAJ,"Professor of Computer Science, University of California, Santa Cruz",Machine Learning Reasoning Under Uncertainty Graph & Network Analysis Information Integration Ethics & Responsible Data Scie
247,Marc Najork,2019,USA,For contributions to web search and web science,https://awards.acm.org/award-recipients/najork_3678687,https://scholar.google.com/citations?user=7HeAnjwAAAAJ,Google,Web Search Information Retrieval Distributed Systems
248,Maria L Gini,2019,USA,For contributions to robotics and multi-agent systems and a lifelong commitment to diversity in computing,https://awards.acm.org/award-recipients/gini_1720564,,,[]
249,Matthew B Dwyer,2019,USA,For contributions to the specification and analysis of software,https://awards.acm.org/award-recipients/dwyer_2631372,,,[]
250,Michael J. Freedman,2019,USA,For contributions to robust distributed systems for the modern cloud,https://awards.acm.org/award-recipients/freedman_6665293,https://scholar.google.com/citations?user=BFE6IQwAAAAJ,"Robert E. Kahn Professor of Computer Science, Princeton University",Distributed Systems Networking Security
251,Mihai Pop,2019,USA,"For contributions to computational biology, algorithms, and software for DNA sequence analysis and sequence assembly",https://awards.acm.org/award-recipients/pop_4359402,https://scholar.google.com/citations?user=4glkLD0AAAAJ,"Professor of Computer Science, University of Maryland, College Park",Bioinformatics
252,Mona Singh,2019,USA,"For contributions to computational biology, spearheading algorithmic and machine learning approaches for characterizing proteins and their interactions",https://awards.acm.org/award-recipients/singh_3869211,https://scholar.google.com/citations?user=JpAehzgAAAAJ,Consultant,Augmented Reality Intelligent Interfaces
253,Moshe Tennenholtz,2019,Israel,For contributions to AI and algorithmic game theory,https://awards.acm.org/award-recipients/tennenholtz_UI18460,https://scholar.google.com/citations?user=65FCPpwAAAAJ,,
254,Noshir Contractor,2019,USA,"For contributions to advances in computational social science, network science and web science",https://awards.acm.org/award-recipients/contractor_N008268,https://scholar.google.com/citations?user=Fqw9o84AAAAJ,"Jane S. & William J. White Professor of Behavioral  Sciences, Northwestern University",Network Science Computational Social Science Web Science Future of work.
255,Paul Beame ,2019,USA,"For contributions in computational and proof complexity and their applications, and for outstanding service",https://awards.acm.org/award-recipients/beame_3208394,https://scholar.google.com/citations?user=plYoF-MAAAAJ,"Professor of Computer Science and Engineering, University of Washington",Computational Complexity Proof Complexity
256,Peter W Shor,2019,USA,"For contributions to quantum computing, information theory, and randomized algorithms",https://awards.acm.org/award-recipients/shor_UJ26384,,,[]
257,Philip R Cohen,2019,USA,"For contributions to the theory and practice of multi-agent systems, human-computer dialogue, and multimodal interaction",https://awards.acm.org/award-recipients/cohen_4633822,https://scholar.google.com/citations?user=V72PR9wAAAAJ,"Chief Scientist, Openstream, Inc.",dialogue multimodal interaction multi-agent systems natural language processing human-computer interaction
258,Prashant J Shenoy ,2019,USA,For contributions to the modeling and design of distributed systems,https://awards.acm.org/award-recipients/shenoy_4174397,,,[]
259,Prof. Diana Marculescu,2019,USA,For contributions to the design and optimization of energy-aware computing systems,https://awards.acm.org/award-recipients/marculescu_4918843,https://scholar.google.com/citations?user=MRHzTAIAAAAJ,The University of Texas at Austin,Energy-aware Computing Low Power Design EDA Dark Silicon Machine Learning
260,Prof. Dr.-Ing Andreas Reuter,2019,Germany,For contributions to database concurrency control and for service to the community,https://awards.acm.org/award-recipients/reuter_2059137,,,[]
261,Prof. Moustafa A Youssef,2019,Egypt,For contributions to location tracking algorithms,https://awards.acm.org/award-recipients/youssef_1643915,https://scholar.google.com/citations?user=6gZmP9EAAAAJ,"Bayero University Kano, Aminu Kano Teaching Hospital, Tehran University of Medical …",Medical Entomology and Vector Control
262,Prof. Nisheeth Vishnoi,2019,USA,"For contributions to theoretical computer science and its connections with mathematics, sciences, and social sciences",https://awards.acm.org/award-recipients/vishnoi_3313941,,,[]
263,Professor Dacheng Tao,2019,Australia,For contributions to representation learning and its applications,https://awards.acm.org/award-recipients/tao_6316488,https://scholar.google.com/citations?user=RwlJNLcAAAAJ,The University of Sydney,artificial intelligence machine learning computer vision image processing data mining
264,Professor Yuan Xie,2019,USA,For contributions to the design techniques and tools for the implementation and evaluation of computer architectures,https://awards.acm.org/award-recipients/xie_UK86900,https://scholar.google.com/citations?user=dK2ZuDcAAAAJ,Professor of University of California at Santa Barbara,Computer Architecture VLSI EDA CAD Embedded Systems
265,Rada Mihalcea,2019,USA,"For contributions to natural language processing, with innovations in data-driven and graph-based language processing",https://awards.acm.org/award-recipients/mihalcea_5516842,https://scholar.google.com/citations?user=UetM7FgAAAAJ,"Professor of Computer Science, University of Michigan",Natural Language Processing Computational Social Science Multimodal Interaction
266,Ramesh Kumar Sitaraman,2019,USA,"For contributions to content delivery networks, distributed systems, and scalable Internet services",https://awards.acm.org/award-recipients/sitaraman_4810933,,,[]
267,Robin R Murphy,2019,USA,For contributions in founding and advancing the field of computing for disasters and robotics,https://awards.acm.org/award-recipients/murphy_3201472,https://scholar.google.com/citations?user=SIcRijoAAAAJ,Computer Science and Engineering Texas A&M,robotics human-robot interaction artificial intelligence disaster robotics search and rescue
268,Saman Amarasinghe,2019,USA,"For contributions to high performance computing on modern hardware platforms, domain-specific languages, and compilation techniques
",https://awards.acm.org/award-recipients/amarasinghe_4130225,https://scholar.google.com/citations?user=cF6i_goAAAAJ,MIT,Compilers Performance Engineering Programming Languages Parallel Computing Domain-Specific Languages
269,Sheila Mcilraith,2019,Canada,For contributions to knowledge representation and its applications to automated planning and semantic web services,https://awards.acm.org/award-recipients/mcilraith_2299173,https://scholar.google.com/citations?user=ny2zuvMAAAAJ,"Professor of Computer Science, University of Toronto",Artificial Intelligence Knowledge Representation and Reasoning Automated Planning Reinforcement Learning Machine Learning
270,Songwu Lu,2019,USA,For helping create a more resilient and performant cellular network,https://awards.acm.org/award-recipients/lu_UK94644,https://scholar.google.com/citations?user=PVdTviYAAAAJ,"Professor of Computer Science, UCLA",Wireless networking mobile systems cloud computing network security
271,Srdjan Capkun,2019,Switzerland,For contributions to systems and wireless network security,https://awards.acm.org/award-recipients/capkun_8123382,https://scholar.google.com/citations?user=VtkPBNsAAAAJ,"Professor of Computer Science, ETH Zurich",Security Computer Security Wireless Security Privacy Networking
272,Srinivasan Seshan ,2019,USA,"For contributions to computer networking, mobile computing and wireless communications",https://awards.acm.org/award-recipients/seshan_4001905,https://scholar.google.com/citations?user=0irVeiQAAAAJ,Carnegie Mellon University,Networking Distributed Systems Wireless Mobile Systems Mobile Computing
273,Subbarao Kambhampati,2019,USA,For contributions to automated planning and human-aware AI systems and leadership within the field,https://awards.acm.org/award-recipients/kambhampati_5416417,https://scholar.google.com/citations?user=yl3L07sAAAAJ,Arizona State University,Artificial Intelligence Automated planning Human-AI Interaction Human-Robot Interaction Social media analysis
274,Tamara G Kolda,2019,USA,"For innovations in algorithms for tensor decompositions, contributions to data science, and community leadership",https://awards.acm.org/award-recipients/kolda_5055801,https://scholar.google.com/citations?user=9hjmW7AAAAAJ,MathSci.ai (independent consulting),tensor decompositions randomized algorithms mathematical data science high-performance computing efficient algorithms
