name,affiliation,homepage,scholarid,orcid,dblp_profile
Jian Pei 0001,Duke University,https://sites.google.com/view/jpei/jian-peis-homepage,zIMEVKsAAAAJ,0000-0002-2200-8711,https://dblp.org/pers/hd/p/Pei_0001:Jian
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,http://hanj.cs.illinois.edu,Kv9AbjMAAAAJ,0000-0002-3629-2696,https://dblp.org/pers/hd/h/Han_0001:Jiawei
Jiaya Jia,HKUST,https://cse.hkust.edu.hk/admin/people/faculty/profile/jia,XPAkzTEAAAAJ,0000-0002-1246-553X,https://dblp.org/pers/hd/j/Jia:Jiaya
Jie Tang 0001,Tsinghua University,http://keg.cs.tsinghua.edu.cn/jietang,n1zDCkQAAAAJ,0000-0003-3487-4593,https://dblp.org/pers/hd/t/Tang_0001:Jie
Jiebo Luo 0001,University of Rochester,http://www.cs.rochester.edu/u/jluo,CcbnBvgAAAAJ,0000-0002-4516-9729,https://dblp.org/pers/hd/l/Luo_0001:Jiebo
Jignesh M. Patel,Carnegie Mellon University,https://jigneshpatel.org,tOjfnFMAAAAJ,0000-0003-3653-2538,https://dblp.org/pers/hd/p/Patel:Jignesh_M%3D
Jimmy Lin,University of Waterloo,https://cs.uwaterloo.ca/~jimmylin,0EWw1z8AAAAJ,0000-0002-0661-7189,https://dblp.org/pers/hd/l/Lin:Jimmy
Jin-Yi Cai,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~jyc,Yn-Lm_QAAAAJ,0009-0003-0675-6060,https://dblp.org/pers/hd/c/Cai:Jin%3DYi
Jitendra Malik,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~malik,oY9R5YQAAAAJ,0000-0003-3695-1580,https://dblp.org/pers/hd/m/Malik:Jitendra
Joan Feigenbaum,Yale University,http://www.cs.yale.edu/~jf,IAeKTGsAAAAJ,0000-0002-3735-6022,https://dblp.org/pers/hd/f/Feigenbaum:Joan
Jodi Forlizzi,Carnegie Mellon University,https://www.hcii.cmu.edu/people/jodi-forlizzi,Hyhp_zUAAAAJ,0000-0002-7161-075X,https://dblp.org/pers/hd/f/Forlizzi:Jodi
Joel Moses,Massachusetts Inst. of Technology,https://esd.mit.edu/Faculty_Pages/moses/moses.htm,NOSCHOLARPAGE,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Moses:Joel
Johan Håstad,KTH Royal Inst. of Technology,http://www.csc.kth.se/~johanh,n0QrdEMAAAAJ,0000-0002-5379-345X,https://dblp.org/pers/hd/h/H=aring=stad:Johan
John A. Stankovic,University of Virginia,https://engineering.virginia.edu/faculty/john-stankovic,4VJre9IAAAAJ,0000-0001-7307-9395,https://dblp.org/pers/hd/s/Stankovic:John_A%3D
John C. Mitchell,Stanford University,http://theory.stanford.edu/people/jcm,1_kJPIEAAAAJ,0000-0002-0024-860X,https://dblp.org/pers/hd/m/Mitchell:John_C%3D
John Chi-Shing Lui,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~cslui,7LVjQ7MAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/l/Lui:John_Chi%3DShing
John F. Canny,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/canny.html,LAv0HTEAAAAJ,0000-0002-7161-7927,https://dblp.org/pers/hd/c/Canny:John_F%3D
John H. Reif,Duke University,https://users.cs.duke.edu/~reif,Er-gEaoAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Reif:John_H%3D
John Hughes 0001,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/rjmh.aspx,adD4xmAAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Hughes_0001:John
John L. Hennessy,Stanford University,https://president.stanford.edu/biography,tp07xT0AAAAJ,0000-0003-0356-1041,https://dblp.org/pers/hd/h/Hennessy:John_L%3D
John M. Mellor-Crummey,Rice University,http://www.cs.rice.edu/~johnmc,wX0XpxMAAAAJ,0000-0002-9026-5453,https://dblp.org/pers/hd/m/Mellor=Crummey:John_M%3D
John Millar Carroll,Pennsylvania State University,https://jcarroll.ist.psu.edu,7Mg8JZMAAAAJ,0000-0001-5189-337X,https://dblp.org/pers/hd/c/Carroll:John_Millar
John V. Guttag,Massachusetts Inst. of Technology,http://nms.csail.mit.edu/~guttag,NOSCHOLARPAGE,0000-0003-0992-0906,https://dblp.org/pers/hd/g/Guttag:John_V%3D
Jon Crowcroft,University of Cambridge,https://www.cl.cam.ac.uk/~jac22,qnMs-XYAAAAJ,0000-0002-7013-0121,https://dblp.org/pers/hd/c/Crowcroft:Jon
Jon M. Kleinberg,Cornell University,https://www.cs.cornell.edu/home/kleinber,VX7d5EQAAAAJ,0000-0002-1929-2512,https://dblp.org/pers/hd/k/Kleinberg:Jon_M%3D
Joost-Pieter Katoen,RWTH Aachen University,http://www-i2.informatik.rwth-aachen.de/~katoen,yjjO5_oAAAAJ,0000-0002-6143-1926,https://dblp.org/pers/hd/k/Katoen:Joost%3DPieter
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,http://iacoma.cs.uiuc.edu/josep/torrellas.html,zdnAkgsAAAAJ,0000-0003-2595-5228,https://dblp.org/pers/hd/t/Torrellas:Josep
Joseph A. Konstan,University of Minnesota,http://konstan.umn.edu,PH4mytYAAAAJ,0000-0002-7788-2748,https://dblp.org/pers/hd/k/Konstan:Joseph_A%3D
Joseph S. B. Mitchell,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/josephmitchell,KICA5DoAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Mitchell:Joseph_S%3D_B%3D
Joseph Y. Halpern,Cornell University,https://www.cs.cornell.edu/home/halpern,FsBCAfgAAAAJ,0000-0002-9229-1663,https://dblp.org/pers/hd/h/Halpern:Joseph_Y%3D
José Meseguer 0001,Univ. of Illinois at Urbana-Champaign,http://formal.cs.illinois.edu/meseguer,KZFo7ZkAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Meseguer_0001:Jos%3Deacute%3D
Joël Ouaknine [SWS],Max Planck Society,https://people.mpi-sws.org/~joel,ZfE4iQ4AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/o/Ouaknine:Jo%3Deuml%3Dl
Juan E. Gilbert,University of Florida,https://www.cise.ufl.edu/people/faculty/jgilbert,FKbHXRUAAAAJ,0000-0002-6801-2206,https://dblp.org/pers/hd/g/Gilbert:Juan_E%3D
Judith S. Olson,Univ. of California - Irvine,https://judithsolson.com,xfwOz_kAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/o/Olson:Judith_S%3D
Julia Hirschberg,Columbia University,http://www.cs.columbia.edu/~julia,Qrd7FCoAAAAJ,0000-0003-0689-7616,https://dblp.org/pers/hd/h/Hirschberg:Julia
Juliana Freire,New York University,http://engineering.nyu.edu/user/4254,sSzAlq0AAAAJ,0000-0003-3915-7075,https://dblp.org/pers/hd/f/Freire:Juliana
Jun Zhu 0001,Tsinghua University,http://ml.cs.tsinghua.edu.cn/~jun/index.shtml,axsP38wAAAAJ,0000-0002-6254-2388,https://dblp.org/pers/hd/z/Zhu_0001:Jun
Junfeng Yang,Columbia University,http://www.cs.columbia.edu/~junfeng,JJ9AvbAAAAAJ,0009-0000-2277-6545,https://dblp.org/pers/hd/y/Yang:Junfeng
Justin Zobel,University of Melbourne,http://people.eng.unimelb.edu.au/jzobel,uEHvqE8AAAAJ,0000-0001-6622-032X,https://dblp.org/pers/hd/z/Zobel:Justin
Justine Cassell,Carnegie Mellon University,https://www.hcii.cmu.edu/people/justine-cassell,wkC9xHMAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/c/Cassell:Justine
Jörg Henkel,Karlsruhe Inst. of Technology,http://ces.itec.kit.edu/21_henkel.php,AmnIAhEAAAAJ,0000-0001-9602-2922,https://dblp.org/pers/hd/h/Henkel:J%3Douml%3Drg
K. K. Ramakrishnan,Univ. of California - Riverside,http://www.cs.ucr.edu/~kk,Da-s1FQAAAAJ,0000-0003-1849-5155,https://dblp.org/pers/hd/r/Ramakrishnan:K%3D_K%3D
Kai Li 0001,Princeton University,http://www.cs.princeton.edu/~li,9MSpWOUAAAAJ,0000-0002-2095-7024,https://dblp.org/pers/hd/l/Li_0001:Kai
Karem A. Sakallah,University of Michigan,http://web.eecs.umich.edu/~karem,M441iZ8AAAAJ,0000-0002-5819-9089,https://dblp.org/pers/hd/s/Sakallah:Karem_A%3D
Katherine A. Yelick,Univ. of California - Berkeley,https://www.cs.berkeley.edu/~yelick,93yNuV0AAAAJ,0000-0003-0957-701X,https://dblp.org/pers/hd/y/Yelick:Katherine_A%3D
Kathleen McKeown,Columbia University,http://www.cs.columbia.edu/~kathy,ujDhg2sAAAAJ,0000-0003-4455-2715,https://dblp.org/pers/hd/m/McKeown:Kathleen
Katy Börner,Indiana University,http://info.ils.indiana.edu/~katy,YirSp_cAAAAJ,0000-0002-3321-6137,https://dblp.org/pers/hd/b/B=ouml=rner:Katy
Kavita Bala,Cornell University,http://www.cs.cornell.edu/~kb,Rh16nsIAAAAJ,0000-0001-9761-6503,https://dblp.org/pers/hd/b/Bala:Kavita
Ke Yi 0001,HKUST,https://www.cse.ust.hk/~yike,dWcZPFEAAAAJ,0000-0002-2178-3716,https://dblp.org/pers/hd/y/Yi_0001:Ke
Keith D. Cooper,Rice University,https://www.cs.rice.edu/~keith,ubiUvvgAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/c/Cooper:Keith_D%3D
Keith Marzullo,Univ. of Massachusetts Amherst,https://www.cics.umass.edu/about/directory/keith-marzullo,hWzTk6MAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Marzullo:Keith
Keith W. Ross,NYU Abu Dhabi,https://nyuad.nyu.edu/en/academics/divisions/science/faculty/keith-ross.html,RhUcYmQAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Ross:Keith_W%3D
Ken Birman,Cornell University,http://www.cs.cornell.edu/ken,I-rKkyEAAAAJ,0000-0003-2400-149X,https://dblp.org/pers/hd/b/Birman:Ken
Ken-ichi Kawarabayashi,National Inst. of Informatics,https://kklab.nii.ac.jp/en,NOSCHOLARPAGE,0000-0001-6056-4287,https://dblp.org/pers/hd/k/Kawarabayashi:Ken%3Dichi
